modelIdentifier;supplierOrTrademark;powerOnModeSDR;category
32 GFB 6066 - Fire TV Edition TCQ000;GRUNDIG;32.0;TELEVISION
49 GUB 7060 - Fire TV Edition SYS000;GRUNDIG;64.0;TELEVISION
43 VLX 7020 - Fire TV Edition TBR000;GRUNDIG;51.0;TELEVISION
55 VLX 7010 - Fire TV Edition TBT000;GRUNDIG;78.0;TELEVISION
40 VLE 6020 - Fire TV Edition TCK000;GRUNDIG;45.0;TELEVISION
32 VLE 6020 - Fire TV Edition TCJ000;GRUNDIG;32.0;TELEVISION
32 VLE 6010 - Fire TV Edition TCF000;GRUNDIG;32.0;TELEVISION
40 VOE 61 - Fire TV Edition TTE000;GRUNDIG;46.0;TELEVISION
65 VLO 8589 OLED - Fire TV Edition TEK000;GRUNDIG;147.0;TELEVISION
40 VLE 6910 BP TFD000;GRUNDIG;46.0;TELEVISION
65 VAE 80 - Fire TV Edition TRM000;GRUNDIG;131.0;TELEVISION
32 GFB 6099 München - Fire TV Edition THH000;GRUNDIG;32.0;TELEVISION
32 AFW 6069 Wien - Fire TV Edition TJV000;GRUNDIG;32.0;TELEVISION
40 AFW 6069 Wien - Fire TV Edition TJX000;GRUNDIG;45.0;TELEVISION
55 AUB 7069 Wien - Fire TV Edition TKA000;GRUNDIG;78.0;TELEVISION
65 GDU 7500A TMS000;GRUNDIG;103.0;TELEVISION
49 GDU 7500A TMR000;GRUNDIG;64.0;TELEVISION
40 GEF 6600B TNP000;GRUNDIG;44.0;TELEVISION
43 GEF 6600B TNQ000;GRUNDIG;51.0;TELEVISION
65 GUB 8040 - Fire TV Edition TQK000;GRUNDIG;131.0;TELEVISION
49 GDU 7504A TNV000;GRUNDIG;64.0;TELEVISION
43 GDU 7504A TNW000;GRUNDIG;51.0;TELEVISION
65 GEU 8900B TPF000;GRUNDIG;131.0;TELEVISION
65 GUT 7055 Venedig - Fire TV Edition TSK000;GRUNDIG;100.0;TELEVISION
55 VOE 82 - Fire TV Edition TQB000;GRUNDIG;87.0;TELEVISION
55 GUT 8055 Florenz - Fire TV Edition TPN000;GRUNDIG;87.0;TELEVISION
65 GUW 8040 - Fire TV Edition TQL000;GRUNDIG;131.0;TELEVISION
43 GUT 7055 Venedig - Fire TV Edition TSG000;GRUNDIG;56.0;TELEVISION
55 GUW 7040 - Fire TV Edition TQU000;GRUNDIG;75.0;TELEVISION
55 GUT 7040 - Fire TV Edition TQV000;GRUNDIG;75.0;TELEVISION
65 VAE 70 - Fire TV Edition TRE000;GRUNDIG;100.0;TELEVISION
43 VOE 71 - Fire TV Edition TRF000;GRUNDIG;56.0;TELEVISION
43 VOE 61 - Fire TV Edition TTF000;GRUNDIG;51.0;TELEVISION
32 GHB 5944 TXM000;GRUNDIG;33.0;TELEVISION
43 VLE 4820 TXZ000;GRUNDIG;51.0;TELEVISION
43 GFB 6900 SWG000;GRUNDIG;51.0;TELEVISION
50 GUT 7054  Melbourne - Fire TV Edition TRX000;GRUNDIG;66.0;TELEVISION
55 GEU 8900C TNM000;GRUNDIG;87.0;TELEVISION
A1999;APPLE;48.8;MONITOR
Alegra 49TY87 UHD twin R;Metz;93.0;TELEVISION
43 GUA 7000 Barcelona TYT000;GRUNDIG;51.0;TELEVISION
55 GUA 8000 Manhattan TYR000;GRUNDIG;87.0;TELEVISION
55A900H;PROCASTER;82.0;TELEVISION
LE-22F430H;PROCASTER;22.0;TELEVISION
LE-24F421WH;PROCASTER;22.0;TELEVISION
32DTH523;TELEFUNKEN;32.0;TELEVISION
24HD19WSTV;ONWA;22.0;TELEVISION
32HD19STV;ONWA;32.0;TELEVISION
P32p-20(C20315UP0);Lenovo;29.0;MONITOR
T23i-20(C20230FT0);Lenovo;11.1;MONITOR
T24i-20(C20238FT0);Lenovo;13.3;MONITOR
HP E24d G4 HSD-0039-F;HP, Inc.;17.9;MONITOR
HP Mini-in-One 24 TPC-F122-D23;HP, Inc.;17.8;MONITOR
39 GEF 6610A UAE000;GRUNDIG;44.0;TELEVISION
G32qc-10(G19315QG0);Lenovo;24.9;MONITOR
TE39472S27YXH;Telefunken;43.0;TELEVISION
TE39PNDS27YXD;Telefunken;36.0;TELEVISION
32W1863DA;Toshiba;32.0;TELEVISION
43HK5600;Hitachi;54.0;TELEVISION
DTU-1031AX;Wacom;4.8;OTHER
43 GUA 2020 UAF000;GRUNDIG;51.0;TELEVISION
OR39520HD;ORIMA;36.0;TELEVISION
HY32H4020SW;HYUNDAI;32.0;TELEVISION
65HL7200;HITACHI;109.0;TELEVISION
50HL7200;HITACHI;71.0;TELEVISION
58HAK5750;HITACHI;70.0;TELEVISION
55HAK6151;HITACHI;82.0;TELEVISION
65HK5600;HITACHI;109.0;TELEVISION
58HK5600;HITACHI;70.0;TELEVISION
50HK5600;HITACHI;71.0;TELEVISION
50HK5601;HITACHI;71.0;TELEVISION
43HK5601;HITACHI;54.0;TELEVISION
43HE4005;HITACHI;42.0;TELEVISION
46910.43K;Vimar;69.0;MONITOR
32HE2200;HITACHI;32.0;TELEVISION
40HE3100;HITACHI;45.0;TELEVISION
32HE1005;HITACHI;32.0;TELEVISION
32HAE2250;HITACHI;32.0;TELEVISION
32HAE4252;HITACHI;32.0;TELEVISION
LT-43VA3000;JVC;54.0;TELEVISION
LT-43VA8000;JVC;54.0;TELEVISION
LT-43VF4000;JVC;42.0;TELEVISION
LT-43VU3000;JVC;54.0;TELEVISION
LT-50VA8000;JVC;71.0;TELEVISION
LT-55VA3000;JVC;82.0;TELEVISION
LT-55VU3000;JVC;82.0;TELEVISION
LT-58VA8000;JVC;70.0;TELEVISION
LT-65VU8000;JVC;109.0;TELEVISION
24WL1A63DG;TOSHIBA;22.0;TELEVISION
32WA3B63DG;TOSHIBA;32.0;TELEVISION
32LA3B63DG;TOSHIBA;32.0;TELEVISION
55UL4B63DG;TOSHIBA;82.0;TELEVISION
65UA2063DG;TOSHIBA;109.0;TELEVISION
65UA3A63DG;TOSHIBA;109.0;TELEVISION
65UL6B63DG;TOSHIBA;109.0;TELEVISION
V55U6900S;VANGUARD;82.0;TELEVISION
50UHD20;EVVO;71.0;TELEVISION
5532/9710;TechniSat;32.1;TELEVISION
5543/9710;TechniSat;42.4;TELEVISION
